_type,evt_block_time,evt_index,index,start,place_in_line,amount,price_per_pod,filled_beans,_from,_to,weather,yield_to_maturity,amount_classification
pod-listing-filled,2022-02-07T18:28:56+00:00,507,27205591.471716,0,4519659.091194,6000,0.7,4200.0,\xeafc0e4acf147e53398a4c9ae5f15950332cce06,,14.4300000000000000,10.1010000000000000,"< 10,000 pods"
pod-order-filled,2022-02-07T20:19:22+00:00,428,27783526.116217,231305.463451,5320736.029333,25000,0.4,10000.0,\x8d06ffb1500343975571cc0240152c413d803778,\xeafc0e4acf147e53398a4c9ae5f15950332cce06,14.4400000000000000,5.7760000000000000,"< 50,000 pods"
pod-order-filled,2022-02-07T21:15:16+00:00,401,36313652.89277,46584.908798,13654663.433833,20000,0.25,5000.00,\x47635847a5bc731592f7efb9a10f2461c2f5cdab,\xeafc0e4acf147e53398a4c9ae5f15950332cce06,16.0000000000000000,4.0000000000000000,"< 25,000 pods"
pod-listing-filled,2022-02-07T23:47:49+00:00,260,261754319.708378,0,239042296.154648,27121.737219,0.06,1627.30423314,\x550586fc064315b54af25024415786843131c8c1,,22.1899999990156230,1.3313999999409374,"< 50,000 pods"
pod-order-filled,2022-02-08T09:16:30+00:00,482,27783526.116217,215055.463451,5261410.888158,16250,0.4,6500.0,\x8d06ffb1500343975571cc0240152c413d803778,\xeafc0e4acf147e53398a4c9ae5f15950332cce06,14.4400000000000000,5.7760000000000000,"< 25,000 pods"
pod-listing-filled,2022-02-08T19:27:44+00:00,532,228803240.767411,0,206068241.332546,3810.749777,0.09,342.96747993,\xeafc0e4acf147e53398a4c9ae5f15950332cce06,,,,"< 10,000 pods"
pod-order-filled,2022-02-08T22:38:17+00:00,224,36313652.89277,0,13573097.467413,46584.908798,0.25,11646.22719950,\x47635847a5bc731592f7efb9a10f2461c2f5cdab,\xeafc0e4acf147e53398a4c9ae5f15950332cce06,16.0000000000000000,4.0000000000000000,"< 50,000 pods"
pod-listing-filled,2022-02-09T20:29:35+00:00,408,128563965.237372,0,105807011.08809,10000,0.15,1500.00,\x22aa1f4173b826451763ebfce22cf54a0603163c,,,,"< 25,000 pods"
pod-listing-filled,2022-02-09T20:41:00+00:00,503,47571305.347767,0,24814351.198485,2000,0.49,980.00,\xeafc0e4acf147e53398a4c9ae5f15950332cce06,,,,"< 10,000 pods"
pod-listing-filled,2022-02-10T18:45:54+00:00,111,43538589.526414,0,20844757.027455,13113.713192,0.38,4983.21101296,\x374e518f85ab75c116905fc69f7e0dc9f0e2350c,,18.7999999999614356,7.1439999999853455,"< 25,000 pods"
pod-listing-filled,2022-02-11T02:54:03+00:00,370,36360237.801568,0,13558464.782666,2007.046073,0.38,762.67750774,\xeafc0e4acf147e53398a4c9ae5f15950332cce06,,,,"< 10,000 pods"
pod-listing-filled,2022-02-12T17:53:29+00:00,55,36362244.847641,0,13524447.090685,1531.485463,0.38,581.96447594,\xeafc0e4acf147e53398a4c9ae5f15950332cce06,,,,"< 10,000 pods"
